module	version	go_sum_h1	go_mod_h1	declared_in
cloud.google.com/go	v0.26.0		h1:aQUYkXzVsufM+DwF1aE+0xfcU+56JwCaLick0ClmMTw=	core/go.sum
cloud.google.com/go	v0.34.0		h1:aQUYkXzVsufM+DwF1aE+0xfcU+56JwCaLick0ClmMTw=	core/go.sum
cloud.google.com/go	v0.38.0		h1:990N+gfupTy94rShfmMCWGDn0LpTmnzTp2qbd1dvSRU=	core/go.sum
cloud.google.com/go	v0.44.1		h1:iSa0KzasP4Uvy3f1mN/7PiObzGgflwredwwASm/v6AU=	core/go.sum
cloud.google.com/go	v0.44.2		h1:60680Gw3Yr4ikxnPRS/oxxkBccT6SA1yMk63TGekxKY=	core/go.sum
cloud.google.com/go	v0.45.1		h1:RpBamKRgapWJb87xiFSdk4g1CME7QZg3uwTez+TSTjc=	core/go.sum
cloud.google.com/go	v0.46.3		h1:a6bKKbmY7er1mI7TEI4lsAkts/mkhTSZK8w33B4RAg0=	core/go.sum
cloud.google.com/go/bigquery	v1.0.1		h1:i/xbL2UlR5RvWAURpBYZTtm/cXjCha9lbfbpx4poX+o=	core/go.sum
cloud.google.com/go/datastore	v1.0.0		h1:LXYbyblFSglQ5pkeyhO+Qmw7ukd3C+pD7TKLgZqpHYE=	core/go.sum
cloud.google.com/go/firestore	v1.1.0		h1:ulACoGHTpvq5r8rxGJ4ddJZBZqakUQqClKRT5SZwBmk=	core/go.sum
cloud.google.com/go/pubsub	v1.0.1		h1:R0Gpsv3s54REJCy4fxDixWD93lHJMoZTyQ2kNxGRt3I=	core/go.sum
cloud.google.com/go/storage	v1.0.0		h1:IhtSnM/ZTZV8YYJWCY8RULGVqBDmpoyjwiyrjsg+URw=	core/go.sum
dmitri.shuralyov.com/gpu/mtl	v0.0.0-20190408044501-666a987793e9		h1:H6x//7gZCb22OMCxBHrMx7a5I7Hp++hsVxbQ4BYO7hU=	core/go.sum
github.com/BurntSushi/toml	v0.3.1		h1:xHWCNGjB5oqiDr8zfno3MHue2Ht5sIBksp03qcyfWMU=	core/go.sum
github.com/BurntSushi/xgb	v0.0.0-20160522181843-27f122750802		h1:IVnqGOEym/WlBOVXweHU+Q+/VP0lqqI8lqeDx9IjBqo=	core/go.sum
github.com/OneOfOne/xxhash	v1.2.2		h1:HSdplMjZKSmBqAxg5vPj2TmRDmfkzw+cTzAElWljhcU=	core/go.sum
github.com/alecthomas/template	v0.0.0-20160405071501-a0175ee3bccc		h1:LOuyumcjzFXgccqObfd/Ljyb9UuFJ6TxHnclSeseNhc=	core/go.sum
github.com/alecthomas/units	v0.0.0-20151022065526-2efee857e7cf		h1:ybxpYRFXyAe+OPACYpWeL0wqObRcbAqCMya13uyzqw0=	core/go.sum
github.com/armon/circbuf	v0.0.0-20150827004946-bbbad097214e		h1:3U/XgcO3hCbHZ8TKRvWD2dDTCfh9M9ya+I9JpbB7O8o=	core/go.sum
github.com/armon/consul-api	v0.0.0-20180202201655-eb2c6b5be1b6		h1:grANhF5doyWs3UAsr3K4I6qtAmlQcZDesFNEHPZAzj8=	core/go.sum
github.com/armon/go-metrics	v0.0.0-20180917152333-f0300d1749da		h1:Q73ZrmVTwzkszR9V5SSuryQ31EELlFMUz1kKyl939pY=	core/go.sum
github.com/armon/go-radix	v0.0.0-20180808171621-7fddfc383310		h1:ufUuZ+zHj4x4TnLV4JWEpy2hxWSpsRywHrMgIH9cCH8=	core/go.sum
github.com/beorn7/perks	v0.0.0-20180321164747-3a771d992973		h1:Dwedo/Wpr24TaqPxmxbtue+5NUziq4I4S80YR8gNf3Q=	core/go.sum
github.com/beorn7/perks	v1.0.0		h1:KWe93zE9D1o94FZ5RNwFwVgaQK1VOXiVxmqh+CedLV8=	core/go.sum
github.com/bgentry/speakeasy	v0.1.0		h1:+zsyZBPWlz7T6j88CTgSN5bM796AkVf0kBD4zp0CCIs=	core/go.sum
github.com/bketelsen/crypt	v0.0.3-0.20200106085610-5cbc8cc4026c		h1:MKsuJmJgSg28kpZDP6UIiPt0e0Oz0kqKNGyRaWEPv84=	core/go.sum
github.com/bytedance/sonic	v1.11.6	h1:oUp34TzMlL+OY1OUWxHqsdkgC/Zfc85zGqw9siXjrc0=	h1:LysEHSvpvDySVdC2f87zGWf6CIKJcAvqab1ZaiQtds4=	xroad-service/go.sum;xroad-service/go.sum
github.com/bytedance/sonic/loader	v0.1.1	h1:c+e5Pt1k/cy5wMveRDyk2X4B9hF4g7an8N3zCYjJFNM=	h1:ncP89zfokxS5LZrJxl5z0UJcsk4M4yY2JpfqGeCtNLU=	xroad-service/go.sum;xroad-service/go.sum
github.com/cespare/xxhash	v1.1.0		h1:XrSqR1VqqWfGrhpAt58auRo0WTKS1nRRg3ghfAqPWnc=	core/go.sum
github.com/client9/misspell	v0.3.4		h1:qj6jICC3Q7zFZvVWo7KLAzC3yx5G7kyvSDkc90ppPyw=	core/go.sum
github.com/cloudwego/base64x	v0.1.4	h1:jwCgWpFanWmN8xoIUHa2rtzmkd5J2plF/dnLS6Xd/0Y=	h1:0zlkT4Wn5C6NdauXdJRhSKRlJvmclQ1hhJgA0rcu/8w=	xroad-service/go.sum;xroad-service/go.sum
github.com/cloudwego/iasm	v0.2.0	h1:1KNIy1I1H9hNNFEEH3DVnI4UujN+1zjpuk6gwHLTssg=	h1:8rXZaNYT2n95jn+zTI1sDr+IgcD2GVs0nlbbQPiEFhY=	xroad-service/go.sum;xroad-service/go.sum
github.com/coreos/bbolt	v1.3.2		h1:iRUV2dpdMOn7Bo10OQBFzIJO9kkE559Wcmn+qkEiiKk=	core/go.sum
github.com/coreos/etcd	v3.3.10+incompatible		h1:uF7uidLiAD3TWHmW31ZFd/JWoc32PjwdhPthX9715RE=	core/go.sum
github.com/coreos/etcd	v3.3.13+incompatible		h1:uF7uidLiAD3TWHmW31ZFd/JWoc32PjwdhPthX9715RE=	core/go.sum
github.com/coreos/go-semver	v0.2.0		h1:nnelYz7RCh+5ahJtPPxZlU+153eP4D4r3EedlOD2RNk=	core/go.sum
github.com/coreos/go-semver	v0.3.0	h1:wkHLiw0WNATZnSG7epLsujiMCgPAc9xhjJ4tgnAxmfM=	h1:nnelYz7RCh+5ahJtPPxZlU+153eP4D4r3EedlOD2RNk=	choices/go.sum;choices/go.sum;common/collector/go.sum;common/collector/go.sum;core/go.sum;mid/go.sum;mid/go.sum;sessionstatus/api/go.sum;sessionstatus/api/go.sum;sessionstatus/go.sum;sessionstatus/go.sum;smartid/go.sum;smartid/go.sum;storage/go.sum;storage/go.sum;verification/go.sum;verification/go.sum;votesorder/go.sum;votesorder/go.sum;voting/go.sum;voting/go.sum;webeid/go.sum;webeid/go.sum
github.com/coreos/go-systemd	v0.0.0-20190321100706-95778dfbb74e		h1:F5haX7vjVVG0kc13fIWeqUViNPyEJxv/OmvnBo0Yme4=	core/go.sum
github.com/coreos/go-systemd/v22	v22.3.2	h1:D9/bQk5vlXQFZ6Kwuu6zaiXJ9oTPe68++AzAJc1DzSI=	h1:Y58oyj3AT4RCenI/lSvhwexgC+NSVTIJ3seZv2GcEnc=	choices/go.sum;choices/go.sum;common/collector/go.sum;common/collector/go.sum;mid/go.sum;mid/go.sum;sessionstatus/api/go.sum;sessionstatus/api/go.sum;sessionstatus/go.sum;sessionstatus/go.sum;smartid/go.sum;smartid/go.sum;storage/go.sum;storage/go.sum;verification/go.sum;verification/go.sum;votesorder/go.sum;votesorder/go.sum;voting/go.sum;voting/go.sum;webeid/go.sum;webeid/go.sum
github.com/coreos/pkg	v0.0.0-20180928190104-399ea9e2e55f		h1:E3G3o1h8I7cfcXa63jLwjI0eiQQMgzzUDFVpN/nH/eA=	core/go.sum
github.com/cpuguy83/go-md2man/v2	v2.0.0		h1:maD7wRr/U5Z6m/iR4s+kqSMx2CaBsrgA7czyZG/E6dU=	core/go.sum
github.com/davecgh/go-spew	v1.1.0		h1:J7Y8YcW2NihsgmVo/mv3lAwl/skON4iLHjSsI+c5H38=	choices/go.sum;common/collector/go.sum;core/go.sum;mid/go.sum;sessionstatus/api/go.sum;sessionstatus/go.sum;smartid/go.sum;storage/go.sum;verification/go.sum;votesorder/go.sum;voting/go.sum;webeid/go.sum;xroad-service/go.sum
github.com/davecgh/go-spew	v1.1.1	h1:vj9j/u1bqnvCEfJOwUhtlOARqs3+rkHYY13jYWTU97c=	h1:J7Y8YcW2NihsgmVo/mv3lAwl/skON4iLHjSsI+c5H38=	choices/go.sum;choices/go.sum;common/collector/go.sum;common/collector/go.sum;core/go.sum;core/go.sum;mid/go.sum;mid/go.sum;sessionstatus/api/go.sum;sessionstatus/api/go.sum;sessionstatus/go.sum;sessionstatus/go.sum;smartid/go.sum;smartid/go.sum;storage/go.sum;storage/go.sum;verification/go.sum;verification/go.sum;votesorder/go.sum;votesorder/go.sum;voting/go.sum;voting/go.sum;webeid/go.sum;webeid/go.sum;xroad-service/go.sum;xroad-service/go.sum
github.com/dgrijalva/jwt-go	v3.2.0+incompatible		h1:E3ru+11k8xSBh+hMPgOLZmtrrCbhqsmaPHjLKYnJCaQ=	core/go.sum
github.com/dgryski/go-sip13	v0.0.0-20181026042036-e10d5fee7954		h1:vAd38F8PWV+bWy6jNmig1y/TA+kYO4g3RSRF0IAv0no=	core/go.sum
github.com/fatih/color	v1.7.0		h1:Zm6kSWBoL9eyXnKyktHP6abPY2pDugNf5KwzbycvMj4=	core/go.sum
github.com/fsnotify/fsnotify	v1.4.7		h1:jwhsz4b93w/PPRr/qN1Yymfu8t87LnFCMoQvtojpjFo=	core/go.sum
github.com/gabriel-vasile/mimetype	v1.4.3	h1:in2uUcidCuFcDKtdcBxlR0rJ1+fsokWf+uqxgUFjbI0=	h1:d8uq/6HKRL6CGdk+aubisF/M5GcPfT7nKyLpA0lbSSk=	xroad-service/go.sum;xroad-service/go.sum
github.com/ghodss/yaml	v1.0.0		h1:4dBDuWmgqj2HViK6kFavaiC9ZROes6MMH2rRYeMEF04=	core/go.sum
github.com/gin-contrib/sse	v0.1.0	h1:Y/yl/+YNO8GZSjAhjMsSuLt29uWRFHdHYUb5lYOV9qE=	h1:RHrZQHXnP2xjPF+u1gW/2HnVO7nvIa9PG3Gm+fLHvGI=	xroad-service/go.sum;xroad-service/go.sum
github.com/gin-gonic/gin	v1.10.0	h1:nTuyha1TYqgedzytsKYqna+DfLos46nTv2ygFy86HFU=	h1:4PMNQiOhvDRa013RKVbsiNwoyezlm2rm0uX/T7kzp5Y=	xroad-service/go.sum;xroad-service/go.sum
github.com/go-gl/glfw	v0.0.0-20190409004039-e6da0acd62b1		h1:vR7hzQXu2zJy9AVAgeJqvqgH9Q5CA+iKCZ2gyEVpxRU=	core/go.sum
github.com/go-gl/glfw/v3.3/glfw	v0.0.0-20200222043503-6f7a984d4dc4		h1:tQ2UAYgL5IevRw8kRxooKSPJfGvJ9fJQFa0TUsXzTg8=	core/go.sum
github.com/go-kit/kit	v0.8.0		h1:xBxKIO96dXMWWy0MnWVtmwkA9/13aqxPnvrjFYMA2as=	core/go.sum
github.com/go-logfmt/logfmt	v0.3.0		h1:Qt1PoO58o5twSAckw1HlFXLmHsOX5/0LbT9GBnD5lWE=	core/go.sum
github.com/go-logfmt/logfmt	v0.4.0		h1:3RMwSq7FuexP4Kalkev3ejPJsZTpXXBr9+V4qmtdjCk=	core/go.sum
github.com/go-playground/assert/v2	v2.2.0	h1:JvknZsQTYeFEAhQwI4qEt9cyV5ONwRHC+lYKSsYSR8s=	h1:VDjEfimB/XKnb+ZQfWdccd7VUvScMdVu0Titje2rxJ4=	xroad-service/go.sum;xroad-service/go.sum
github.com/go-playground/locales	v0.14.1	h1:EWaQ/wswjilfKLTECiXz7Rh+3BjFhfDFKv/oXslEjJA=	h1:hxrqLVvrK65+Rwrd5Fc6F2O76J/NuW9t0sjnWqG1slY=	xroad-service/go.sum;xroad-service/go.sum
github.com/go-playground/universal-translator	v0.18.1	h1:Bcnm0ZwsGyWbCzImXv+pAJnYK9S473LQFuzCbDbfSFY=	h1:xekY+UJKNuX9WP91TpwSH2VMlDf28Uj24BCp08ZFTUY=	xroad-service/go.sum;xroad-service/go.sum
github.com/go-playground/validator/v10	v10.20.0	h1:K9ISHbSaI0lyB2eWMPJo+kOS/FBExVwjEviJTixqxL8=	h1:dbuPbCMFw/DrkbEynArYaCwl3amGuJotoKCe95atGMM=	xroad-service/go.sum;xroad-service/go.sum
github.com/go-stack/stack	v1.8.0		h1:v0f6uXyyMGvRgIKkXu+yp6POWl0qKG85gN/melR3HDY=	core/go.sum
github.com/goccy/go-json	v0.10.2	h1:CrxCmQqYDkv1z7lO7Wbh2HN93uovUHgrECaO5ZrCXAU=	h1:6MelG93GURQebXPDq3khkgXZkazVtN9CRI+MGFi0w8I=	xroad-service/go.sum;xroad-service/go.sum
github.com/godbus/dbus/v5	v5.0.4		h1:xhWf0FNVPg57R7Z0UbKHbJfkEywrmjJnf7w5xrFpKfA=	choices/go.sum;common/collector/go.sum;mid/go.sum;sessionstatus/api/go.sum;sessionstatus/go.sum;smartid/go.sum;storage/go.sum;verification/go.sum;votesorder/go.sum;voting/go.sum;webeid/go.sum
github.com/gogo/protobuf	v1.1.1		h1:r8qH/GZQm5c6nD/R0oafs1akxWv10x8SbQlK7atdtwQ=	core/go.sum
github.com/gogo/protobuf	v1.2.1		h1:hp+jE20tsWTFYpLwKvXlhS1hjn+gTNwPg2I6zVXpSg4=	core/go.sum
github.com/gogo/protobuf	v1.3.2	h1:Ov1cvc58UF3b5XjBnZv7+opcTcQFZebYjWzi34vdm4Q=	h1:P1XiOD3dCwIKUDQYPy72D8LYyHL2YPYrpS2s69NZV8Q=	choices/go.sum;choices/go.sum;common/collector/go.sum;common/collector/go.sum;mid/go.sum;mid/go.sum;sessionstatus/api/go.sum;sessionstatus/api/go.sum;sessionstatus/go.sum;sessionstatus/go.sum;smartid/go.sum;smartid/go.sum;storage/go.sum;storage/go.sum;verification/go.sum;verification/go.sum;votesorder/go.sum;votesorder/go.sum;voting/go.sum;voting/go.sum;webeid/go.sum;webeid/go.sum
github.com/golang/glog	v0.0.0-20160126235308-23def4e6c14b		h1:SBH7ygxi8pfUlaOkMMuAQtPIUF8ecWP5IEl/CR7VP2Q=	core/go.sum
github.com/golang/groupcache	v0.0.0-20190129154638-5b532d6fd5ef		h1:cIg4eruTrX1D+g88fzRXU5OdNfaM+9IcxsU14FzY7Hc=	core/go.sum
github.com/golang/mock	v1.1.1		h1:oTYuIxOrZwtPieC+H1uAHpcLFnEyAGVDL/k47Jfbm0A=	core/go.sum
github.com/golang/mock	v1.2.0		h1:oTYuIxOrZwtPieC+H1uAHpcLFnEyAGVDL/k47Jfbm0A=	core/go.sum
github.com/golang/mock	v1.3.1		h1:sBzyDLLjw3U8JLTeZvSv8jJB+tU5PVekmnlKIyFUx0Y=	core/go.sum
github.com/golang/protobuf	v1.2.0		h1:6lQm79b+lXiMfvg/cZm0SGofjICqVBUtrP5yJMmIC1U=	core/go.sum
github.com/golang/protobuf	v1.3.1		h1:6lQm79b+lXiMfvg/cZm0SGofjICqVBUtrP5yJMmIC1U=	core/go.sum
github.com/golang/protobuf	v1.3.2		h1:6lQm79b+lXiMfvg/cZm0SGofjICqVBUtrP5yJMmIC1U=	core/go.sum
github.com/golang/protobuf	v1.5.4	h1:i7eJL8qZTpSEXOPTxNKhASYpMn+8e5Q6AdndVa1dWek=	h1:lnTiLA8Wa4RWRcIUkrtSVa5nRhsEGBg48fD6rSs7xps=	choices/go.sum;choices/go.sum;common/collector/go.sum;common/collector/go.sum;mid/go.sum;mid/go.sum;sessionstatus/api/go.sum;sessionstatus/api/go.sum;sessionstatus/go.sum;sessionstatus/go.sum;smartid/go.sum;smartid/go.sum;storage/go.sum;storage/go.sum;verification/go.sum;verification/go.sum;votesorder/go.sum;votesorder/go.sum;voting/go.sum;voting/go.sum;webeid/go.sum;webeid/go.sum
github.com/google/btree	v0.0.0-20180813153112-4030bb1f1f0c		h1:lNA+9X1NB3Zf8V7Ke586lFgjr2dZNuvo3lPJSGZ5JPQ=	core/go.sum
github.com/google/btree	v1.0.0		h1:lNA+9X1NB3Zf8V7Ke586lFgjr2dZNuvo3lPJSGZ5JPQ=	core/go.sum
github.com/google/go-cmp	v0.2.0		h1:oXzfMopK8JAjlY9xF4vHSVASa0yLyX7SntLO5aqRK0M=	core/go.sum
github.com/google/go-cmp	v0.3.0		h1:8QqcDgzrUqlUb/G2PQTWiueGozuR1884gddMywk6iLU=	core/go.sum
github.com/google/go-cmp	v0.5.5	h1:Khx7svrCpmxxtHBq5j2mp/xVjsi8hQMfNLvJFAlrGgU=	h1:v8dTdLbMG2kIc/vJvl+f65V22dbkXbowE6jgT/gNBxE=	xroad-service/go.sum;xroad-service/go.sum
github.com/google/go-cmp	v0.6.0	h1:ofyhxvXcZhMsU5ulbFiLKl/XBFqE1GSq7atu8tAmTRI=	h1:17dUlkBOakJ0+DkrSSNjCkIjxS6bF9zb3elmeNGIjoY=	choices/go.sum;choices/go.sum;common/collector/go.sum;common/collector/go.sum;mid/go.sum;mid/go.sum;sessionstatus/api/go.sum;sessionstatus/api/go.sum;sessionstatus/go.sum;sessionstatus/go.sum;smartid/go.sum;smartid/go.sum;storage/go.sum;storage/go.sum;verification/go.sum;verification/go.sum;votesorder/go.sum;votesorder/go.sum;voting/go.sum;voting/go.sum;webeid/go.sum;webeid/go.sum
github.com/google/gofuzz	v1.0.0		h1:dBl0BpW6vV/+mYPU4Po3pmUjxk6FQPldtuIdl/M65Eg=	xroad-service/go.sum
github.com/google/martian	v2.1.0+incompatible		h1:9I4somxYTbIHy5NJKHRl3wXiIaQGbYVAs8BPL6v8lEs=	core/go.sum
github.com/google/pprof	v0.0.0-20181206194817-3ea8567a2e57		h1:zfwlbNMJ+OItoe0UupaVj+oy1omPYYDuagoSzA8v9mc=	core/go.sum
github.com/google/pprof	v0.0.0-20190515194954-54271f7e092f		h1:zfwlbNMJ+OItoe0UupaVj+oy1omPYYDuagoSzA8v9mc=	core/go.sum
github.com/google/renameio	v0.1.0		h1:KWCgfxg9yswjAJkECMjeO8J8rahYeXnNhOm40UhjYkI=	core/go.sum
github.com/googleapis/gax-go/v2	v2.0.4		h1:0Wqv26UfaUD9n4G6kQubkQ+KchISgw+vpHVxEJEs9eg=	core/go.sum
github.com/googleapis/gax-go/v2	v2.0.5		h1:DWXyrwAJ9X0FpwwEdw+IPEYBICEFu5mhpdKc/us6bOk=	core/go.sum
github.com/gopherjs/gopherjs	v0.0.0-20181017120253-0766667cb4d1		h1:wJfORRmW1u3UXTncJ5qlYoELFm8eSnnEO6hX4iZ3EWY=	core/go.sum
github.com/gorilla/websocket	v1.4.0		h1:E7qHFY5m1UJ88s3WnNqhKjPHQ0heANvMoAMk2YaljkQ=	core/go.sum
github.com/gorilla/websocket	v1.4.2		h1:YR8l580nyteQvAITg2hZ9XVh4b55+EU/adAjf1fMHhE=	core/go.sum
github.com/grpc-ecosystem/go-grpc-middleware	v1.0.0		h1:FiyG127CGDf3tlThmgyCl78X/SZQqEOJBCDaAfeWzPs=	core/go.sum
github.com/grpc-ecosystem/go-grpc-prometheus	v1.2.0		h1:8NvIoxWQoOIhqOTXgfV/d3M/q6VIi02HzZEHgUlZvzk=	core/go.sum
github.com/grpc-ecosystem/grpc-gateway	v1.9.0		h1:vNeuVxBJEsws4ogUvrchl83t/GYV9WGTSLVdBhOQFDY=	core/go.sum
github.com/gtank/ristretto255	v0.1.2	h1:JEqUCPA1NvLq5DwYtuzigd7ss8fwbYay9fi4/5uMzcc=	h1:Ph5OpO6c7xKUGROZfWVLiJf9icMDwUeIvY4OmlYW69o=	common/collector/go.sum;common/collector/go.sum;core/go.sum;core/go.sum;voting/go.sum;voting/go.sum
github.com/hashicorp/consul/api	v1.1.0		h1:VmuI/Lkw1nC05EYQWNKwWGbkg+FbDBtguAZLlVdkD9Q=	core/go.sum
github.com/hashicorp/consul/sdk	v0.1.1		h1:VKf9jXwCTEY1QZP2MOLRhb5i/I/ssyNV1vwHyQBF0x8=	core/go.sum
github.com/hashicorp/errwrap	v1.0.0		h1:YH+1FKiLXxHSkmPseP+kNlulaMuP3n2brvKWEqk/Jc4=	core/go.sum
github.com/hashicorp/go-cleanhttp	v0.5.1		h1:JpRdi6/HCYpAwUzNwuwqhbovhLtngrth3wmdIIUrZ80=	core/go.sum
github.com/hashicorp/go-immutable-radix	v1.0.0		h1:0y9vanUI8NX6FsYoO3zeMjhV/C5i9g4Q3DwcSNZ4P60=	core/go.sum
github.com/hashicorp/go-msgpack	v0.5.3		h1:ahLV/dePpqEmjfWmKiqvPkv/twdG7iPBM1vqhUKIvfM=	core/go.sum
github.com/hashicorp/go-multierror	v1.0.0		h1:dHtQlpGsu+cZNNAkkCN/P3hoUDHhCYQXV3UM06sGGrk=	core/go.sum
github.com/hashicorp/go-rootcerts	v1.0.0		h1:K6zTfqpRlCUIjkwsN4Z+hiSfzSTQa6eBIzfwKfwNnHU=	core/go.sum
github.com/hashicorp/go-sockaddr	v1.0.0		h1:7Xibr9yA9JjQq1JpNB2Vw7kxv8xerXegt+ozgdvDeDU=	core/go.sum
github.com/hashicorp/go-syslog	v1.0.0		h1:qPfqrKkXGihmCqbJM2mZgkZGvKG1dFdvsLplgctolz4=	core/go.sum
github.com/hashicorp/go-uuid	v1.0.0		h1:6SBZvOh/SIDV7/2o3Jml5SYk/TvGqwFJ/bN7x4byOro=	core/go.sum
github.com/hashicorp/go-uuid	v1.0.1		h1:6SBZvOh/SIDV7/2o3Jml5SYk/TvGqwFJ/bN7x4byOro=	core/go.sum
github.com/hashicorp/go.net	v0.0.1		h1:hjKkEWcCURg++eb33jQU7oqQcI9XDCnUzHA0oac0k90=	core/go.sum
github.com/hashicorp/golang-lru	v0.5.0		h1:/m3WP610KZHVQ1SGc6re/UDhFvYD7pJ4Ao+sR/qLZy8=	core/go.sum
github.com/hashicorp/golang-lru	v0.5.1		h1:/m3WP610KZHVQ1SGc6re/UDhFvYD7pJ4Ao+sR/qLZy8=	core/go.sum
github.com/hashicorp/hcl	v1.0.0		h1:E5yfLk+7swimpb2L/Alb/PJmXilQ/rhwaUYs4T20WEQ=	core/go.sum
github.com/hashicorp/logutils	v1.0.0		h1:QIAnNjmIWmVIIkWDTG1z5v++HQmx9WQRO+LraFDTW64=	core/go.sum
github.com/hashicorp/mdns	v1.0.0		h1:tL+uN++7HEJ6SQLQ2/p+z2pH24WQKWjBPkE0mNTz8vQ=	core/go.sum
github.com/hashicorp/memberlist	v0.1.3		h1:ajVTdAv/9Im8oMAAj5G31PhhMCZJV2pPBoIllUwCN7I=	core/go.sum
github.com/hashicorp/serf	v0.8.2		h1:6hOLApaqBFA1NXqRQAsxw9QxuDEvNxSQRwA/JwenrHc=	core/go.sum
